Inversion	Numinds.with.ref	Percentage.Different GType	Percentage.Same GType	Percentage.Filter (few reads)	Numinds.geno.break	Reads.Min	Reads.Median	Reads.Mean	Reads.Max	QualityTest
HsInv1569	92	0	100	0	414	27	51.5	53.0507246376812	117	
HsInv1590	92	0	100	0	414	25	55	56.2850241545894	104	
HsInv1785	91	0	100	0	414	29	56	58.1835748792271	120	
HsInv1790	93	0	100	0	414	28	53	54.4685990338164	104	
HsInv1798	91	0	100	0	414	4	18	18.6521739130435	41	Low read count
HsInv1808	NA	NA	NA	NA	414	35	60	60.9371980676328	108	
HsInv1819	93	0	100	0	414	26	54	55.0724637681159	100	
HsInv1820	92	0	100	0	414	13	46	46.6594202898551	89	
HsInv1838	92	0	100	0	414	29	49	50.3478260869565	95	
HsInv1848	92	0	98.9130434782609	1.08695652173913	414	38	61	61.8067632850242	100	
HsInv1867	92	0	100	0	414	33	60	61.2632850241546	130	
HsInv1868	NA	NA	NA	NA	414	29	50	50.7391304347826	97	
HsInv1874	NA	NA	NA	NA	414	4	28	28.8357487922705	66	
HsInv1875	91	0	100	0	414	30	54	56.9057971014493	139	
HsOtb1874	NA	NA	NA	NA	414	2	24	23.1633663366337	62	Low read count
HsOth0154	NA	NA	NA	NA	414	14	79	78.3623188405797	212	
HsOth0170	NA	NA	NA	NA	414	14	49.5	52.0893719806763	165	
HsOth0171	NA	NA	NA	NA	414	10	32	42.0434782608696	152	
HsOth0178	NA	NA	NA	NA	414	7	24	27.1425120772947	86	Low read count
HsOth0182	NA	NA	NA	NA	414	18	62	63.7173913043478	145	
HsOth0186	NA	NA	NA	NA	414	13	29	31.1570048309179	98	
HsOth0190	NA	NA	NA	NA	414	11	36.5	42.6835748792271	137	
HsOth0211	NA	NA	NA	NA	414	1	28	32.7794117647059	82	
HsOth0224	NA	NA	NA	NA	414	15	36	43.6666666666667	145	
HsOth0310	NA	NA	NA	NA	414	14	28	34.0386473429952	109	
HsOth0324	NA	NA	NA	NA	414	1	20	30.7261306532663	112	
HsOth0335	NA	NA	NA	NA	414	6	25	25.3816425120773	48	Low read count
HsOth0463	NA	NA	NA	NA	414	1	25	29.1014492753623	128	
HsOth0574	NA	NA	NA	NA	414	15	55	56.6884057971015	172	
HsOth0589	NA	NA	NA	NA	414	11	47.5	53.719806763285	145	
HsOth0612	NA	NA	NA	NA	414	11	26	31.4444444444444	106	
HsOth0968	NA	NA	NA	NA	414	13	42.5	45.6352657004831	133	
HsOth0987	NA	NA	NA	NA	414	14	42.5	42.975845410628	92	
HsOth0997	NA	NA	NA	NA	414	15	62.5	64.8888888888889	169	
HsOth1004	NA	NA	NA	NA	414	8	56.5	58.6666666666667	195	
HsOth1013	NA	NA	NA	NA	414	14	29	34.2657004830918	134	
HsOth1112	NA	NA	NA	NA	414	7	24	32.8478260869565	119	
HsOth1122	105	0	100	0	414	21	46	47.195652173913	91	
HsOth1130	NA	NA	NA	NA	414	13	42.5	48.3792270531401	123	
HsOth1146	NA	NA	NA	NA	414	12	25	26.195652173913	77	Low read count
HsOth1153	NA	NA	NA	NA	414	7	22	24.5289855072464	72	Low read count
HsOth1216	NA	NA	NA	NA	414	14	30	31.6280193236715	144	
HsOth1225	NA	NA	NA	NA	414	10	27	34.0410628019324	177	
HsOth1240	NA	NA	NA	NA	414	6	25	26.5386473429952	97	Low read count
HsOth1269	NA	NA	NA	NA	414	12	28	30.4806763285024	92	
HsOth1275	NA	NA	NA	NA	414	11	28	30.0193236714976	83	
HsOth1306	NA	NA	NA	NA	414	36	98	98.1884057971015	186	High read count
HsOth1313	NA	NA	NA	NA	414	9	32	40.8840579710145	135	
HsOth1329	NA	NA	NA	NA	414	16	34	35.5724637681159	95	
HsOth1376	NA	NA	NA	NA	414	9	27	28.4951690821256	113	
HsOth1408	NA	NA	NA	NA	414	10	25	25.780193236715	70	Low read count
HsOth1411	NA	NA	NA	NA	414	11	35	40.3357487922705	125	
HsOth1414	NA	NA	NA	NA	414	14	31	33.7584541062802	107	
HsOth1422	NA	NA	NA	NA	414	14	53	52.6811594202899	144	
HsOth1425	NA	NA	NA	NA	414	12	25	26.2777777777778	79	Low read count
HsOth1428	NA	NA	NA	NA	414	27	56	60.5169082125604	135	
HsOth1432	NA	NA	NA	NA	414	35	56	57.804347826087	131	
HsOth1454	NA	NA	NA	NA	414	33	68	72.4130434782609	166	
HsOth1468	NA	NA	NA	NA	414	14	30	31.1859903381643	65	
HsOth1471	NA	NA	NA	NA	414	14	30	31.8212560386473	84	
HsOth1484	NA	NA	NA	NA	414	10	26	29.1376811594203	93	
HsOth1497	NA	NA	NA	NA	414	12	33	36.7342995169082	104	
HsOth1511	NA	NA	NA	NA	414	11	31	35.9154589371981	111	
HsOth1579	NA	NA	NA	NA	414	10	27	29.8357487922705	119	
HsOth1614	NA	NA	NA	NA	414	22	53	57.2898550724638	224	
HsOth1637	NA	NA	NA	NA	414	23	48	48.987922705314	88	
HsOth1667	NA	NA	NA	NA	414	28	54	59.0966183574879	127	
HsOth1681	NA	NA	NA	NA	414	27	49.5	50.9541062801932	105	
HsOth1700	NA	NA	NA	NA	414	15	31	32.292270531401	100	
HsOth1751	NA	NA	NA	NA	414	9	28	30.9009661835749	104	
HsOth1794	NA	NA	NA	NA	414	10	25.5	26.951690821256	67	Low read count
HsOth1853	NA	NA	NA	NA	414	10	29	30.7753623188406	64	
HsOth1856	NA	NA	NA	NA	414	13	37	37.4178743961353	63	
HsOth1857	NA	NA	NA	NA	414	12	47	51.7149758454106	230	
HsOth1858	NA	NA	NA	NA	414	1	11	13.0942928039702	44	Low read count
HsOth1865	NA	NA	NA	NA	414	3	19	20.2125603864734	51	Low read count
