Inversion	Numinds.with.ref	Percentage.Different GType	Percentage.Same GType	Percentage.Filter (few reads)	Percentage.Filter (0 reads)	Numinds.geno.break	Reads.Min	Reads.Median	Reads.Mean	Reads.Max	QualityTest
HsInv1820	92	0	65.2173913043478	33.695652173913	1.08695652173913	414	1	5	5.61822660098522	19	
HsInv1838	92	3.26086956521739	45.6521739130435	48.9130434782609	2.17391304347826	414	1	5	5.41089108910891	23	
HsInv1848	92	5.43478260869565	78.2608695652174	16.304347826087	0	414	1	7	8.30992736077482	29	
HsInv1867	92	0	75	22.8260869565217	2.17391304347826	414	1	7	7.61822660098522	26	
HsInv1868	NA	NA	NA	NA	NA	414	1	6	7.04106280193237	23	
HsInv1874	NA	NA	NA	NA	NA	414	1	3	3.45535714285714	16	
HsInv1875	91	0	28.5714285714286	61.5384615384615	9.89010989010989	414	1	3	3.7603305785124	17	
HsOtb1874	NA	NA	NA	NA	NA	414	1	4	4.38247011952191	18	
HsOth0154	NA	NA	NA	NA	NA	414	1	7	8.44254278728606	33	
HsOth0170	NA	NA	NA	NA	NA	414	1	5	5.77	19	
HsOth0171	NA	NA	NA	NA	NA	414	1	5	5.5425	21	
HsOth0178	NA	NA	NA	NA	NA	414	1	4	4.1413881748072	18	
HsOth0182	NA	NA	NA	NA	NA	414	1	6	7.05147058823529	25	
HsOth0186	NA	NA	NA	NA	NA	414	1	4	4.52130325814536	16	
HsOth0190	NA	NA	NA	NA	NA	414	1	4	4.91898734177215	21	
HsOth0211	NA	NA	NA	NA	NA	414	1	5	5.77114427860697	24	
HsOth0224	NA	NA	NA	NA	NA	414	1	6	5.93266832917706	20	
HsOth0310	NA	NA	NA	NA	NA	414	1	4	5.09226932668329	25	
HsOth0324	NA	NA	NA	NA	NA	414	1	1	1.69387755102041	5	Low read count
HsOth0335	NA	NA	NA	NA	NA	414	1	2	2.91208791208791	12	
HsOth0463	NA	NA	NA	NA	NA	414	1	4	4.38582677165354	25	
HsOth0574	NA	NA	NA	NA	NA	414	1	6	6.59558823529412	26	
HsOth0589	NA	NA	NA	NA	NA	414	1	5	6.185	23	
HsOth0612	NA	NA	NA	NA	NA	414	1	5	5.04785894206549	18	
HsOth0968	NA	NA	NA	NA	NA	414	1	5	5.29528535980149	21	
HsOth0987	NA	NA	NA	NA	NA	414	1	4	4.55080213903743	16	
HsOth0997	NA	NA	NA	NA	NA	414	1	6	6.70904645476773	25	
HsOth1004	NA	NA	NA	NA	NA	414	1	6	6.85148514851485	24	
HsOth1013	NA	NA	NA	NA	NA	414	1	4	4.53196930946292	17	
HsOth1112	NA	NA	NA	NA	NA	414	1	3	3.78756476683938	15	
HsOth1122	105	0	58.0952380952381	40.9523809523809	0.952380952380952	414	1	5	5.70676691729323	20	
HsOth1130	NA	NA	NA	NA	NA	414	1	5	5.3547557840617	18	
HsOth1146	NA	NA	NA	NA	NA	414	1	3	3.49593495934959	13	
HsOth1153	NA	NA	NA	NA	NA	414	1	2	2.70381231671554	8	
HsOth1216	NA	NA	NA	NA	NA	414	1	4	4.26196473551637	14	
HsOth1225	NA	NA	NA	NA	NA	414	1	4	4.43890274314214	23	
HsOth1240	NA	NA	NA	NA	NA	414	1	4	4.71356783919598	17	
HsOth1269	NA	NA	NA	NA	NA	414	1	5	5.31862745098039	18	
HsOth1275	NA	NA	NA	NA	NA	414	1	4	5.0074812967581	20	
HsOth1306	NA	NA	NA	NA	NA	414	2	14	16.4576271186441	56	High read count
HsOth1313	NA	NA	NA	NA	NA	414	1	5	6.27560975609756	22	
HsOth1329	NA	NA	NA	NA	NA	414	1	4	4.32275132275132	26	
HsOth1376	NA	NA	NA	NA	NA	414	1	5	5.12592592592593	26	
HsOth1408	NA	NA	NA	NA	NA	414	1	4	4.44072164948454	15	
HsOth1411	NA	NA	NA	NA	NA	414	1	5	5.08977556109726	16	
HsOth1414	NA	NA	NA	NA	NA	414	1	3	3.94086021505376	16	
HsOth1422	NA	NA	NA	NA	NA	414	1	5	5.70822942643392	23	
HsOth1425	NA	NA	NA	NA	NA	414	1	4	5.00746268656716	18	
HsOth1428	NA	NA	NA	NA	NA	414	1	8	8.4975845410628	27	
HsOth1432	NA	NA	NA	NA	NA	414	1	9	9.89588377723971	32	
HsOth1454	NA	NA	NA	NA	NA	414	1	8	8.63260340632603	28	
HsOth1468	NA	NA	NA	NA	NA	414	1	4	4.51243781094527	17	
HsOth1471	NA	NA	NA	NA	NA	414	1	4	4.72405063291139	16	
HsOth1484	NA	NA	NA	NA	NA	414	1	4	5.00755667506297	16	
HsOth1497	NA	NA	NA	NA	NA	414	1	6	6.28117359413203	24	
HsOth1511	NA	NA	NA	NA	NA	414	1	4	4.44050632911392	19	
HsOth1579	NA	NA	NA	NA	NA	414	1	3	3.86224489795918	15	
HsOth1614	NA	NA	NA	NA	NA	414	2	8	9.69554455445545	30	
HsOth1637	NA	NA	NA	NA	NA	414	1	6	6.58024691358025	29	
HsOth1667	NA	NA	NA	NA	NA	414	1	8.5	8.72572815533981	31	
HsOth1681	NA	NA	NA	NA	NA	414	1	6	6.64720194647202	20	
HsOth1700	NA	NA	NA	NA	NA	414	1	4	4.56296296296296	17	
HsOth1751	NA	NA	NA	NA	NA	414	1	5	5.04785894206549	19	
HsOth1794	NA	NA	NA	NA	NA	414	1	4	4.09511568123393	15	
HsOth1853	NA	NA	NA	NA	NA	414	1	1	1.74242424242424	8	Low read count
HsOth1856	NA	NA	NA	NA	NA	414	1	3	3.20923913043478	15	
HsOth1857	NA	NA	NA	NA	NA	414	1	5	6.00742574257426	21	
HsOth1858	NA	NA	NA	NA	NA	414	1	2	2.15789473684211	6	
HsOth1865	NA	NA	NA	NA	NA	414	1	3	3.58602150537634	16	
